city,lat,lng,max_temp,humidity,cloudiness,wind speed,country,date
Adré,13.4667,22.2,71.37,21,0,10.85,TD,1613344589
Marquette,46.5333,-87.6335,0.0,60,100,3.0,US,1613344589
Barybino,55.2677,37.8933,5.0,61,0,13.42,RU,1613344589
Taoudenni,22.6783,-3.9836,73.36,23,0,26.28,ML,1613344589
Jijiga,9.35,42.8,58.87,31,0,5.26,ET,1613344589
Menomonie,44.8755,-91.9193,-6.0,41,1,10.36,US,1613344590
Muros,42.7762,-9.0603,59.0,63,34,18.01,ES,1613344590
Los Llanos de Aridane,28.6585,-17.9182,62.6,77,0,9.22,ES,1613344590
Tilichiki,60.4667,166.1,-0.96,94,100,10.45,RU,1613344590
Micheweni,-4.9667,39.8333,79.95,80,84,10.54,TZ,1613344590
Celina,40.5489,-84.5702,19.99,79,90,4.61,US,1613344590
Hobyo,5.3505,48.5268,76.5,76,1,13.82,SO,1613344590
Laas,46.6166,10.7002,25.0,56,0,8.05,IT,1613344590
Lakes Entrance,-37.8811,147.981,66.99,79,39,1.01,AU,1613344591
Deer Lake,49.1667,-57.4316,23.0,74,90,12.66,CA,1613344591
Tamandaré,-8.7597,-35.1047,78.69,84,64,9.04,BR,1613344591
Grand Gaube,-20.0064,57.6608,77.0,81,85,3.0,MU,1613344591
Nurlat,54.4277,50.8051,-0.44,94,98,10.67,RU,1613344591
Tegul'det,57.3064,88.1667,0.77,93,100,6.8,RU,1613344591
Zyryanka,65.75,150.85,-23.06,87,99,7.0,RU,1613344591
Thinadhoo,0.5333,72.9333,81.99,77,90,10.27,MV,1613344591
Samoded,63.6083,40.5111,-12.64,89,0,5.44,RU,1613344591
Oytal,42.9057,73.2697,39.99,62,17,5.32,KZ,1613344592
Korla,41.7597,86.1469,31.95,86,97,2.01,CN,1613344592
Port Hedland,-20.3167,118.5667,80.6,78,90,9.22,AU,1613344592
Pekan,3.4836,103.3996,73.0,94,20,4.61,MY,1613344592
Provideniya,64.3833,-173.3,12.2,73,75,11.18,RU,1613344592
Ponta Delgada,37.7333,-25.6667,60.01,72,20,23.02,PT,1613344592
Aykhal,66.0,111.5,-28.66,82,100,8.97,RU,1613344592
Pangnirtung,66.1451,-65.7125,-20.49,81,92,2.64,CA,1613344592
Hengyang,26.8881,112.615,55.4,81,0,2.46,CN,1613344593
Cidreira,-30.1811,-50.2056,74.53,84,99,4.07,BR,1613344593
Robāţ Karīm,35.4846,51.0829,51.8,60,0,9.22,IR,1613344593
Orlik,52.5178,99.825,-3.24,85,100,4.68,RU,1613344593
Praia da Vitória,38.7333,-27.0667,59.0,88,40,39.77,PT,1613344593
Carballo,43.213,-8.691,59.0,44,0,13.8,ES,1613344565
Henties Bay,-22.116,14.2845,64.27,83,1,6.85,NA,1613344593
Barra do Garças,-15.89,-52.2567,75.0,90,100,3.44,BR,1613344593
Shakawe,-18.3667,21.85,67.93,84,63,7.31,BW,1613344593
Lagos,6.5833,3.75,84.2,84,20,9.22,NG,1613344568
Matara,5.9485,80.5353,74.97,91,98,2.28,LK,1613344556
Bandarbeyla,9.4942,50.8122,73.53,75,23,8.48,SO,1613344594
Grottammare,42.9888,13.8649,34.0,55,25,3.0,IT,1613344594
Moose Factory,51.2585,-80.6094,-5.8,77,90,4.61,CA,1613344594
Mindelo,16.8901,-24.9804,69.8,73,20,24.16,CV,1613344594
Lagoa,39.05,-27.9833,58.1,73,85,38.56,PT,1613344594
Jalu,29.0331,21.5482,56.43,78,0,11.48,LY,1613344594
Araouane,18.9048,-3.5265,77.22,15,39,11.72,ML,1613344594
Skuodas,56.2667,21.5333,30.2,59,90,5.75,LT,1613344595
Sabzawār,36.2126,57.6819,48.7,48,0,4.9,IR,1613344595
Kumul,42.8,93.45,29.16,83,0,5.48,CN,1613344595
Marystown,47.1666,-55.1483,24.76,94,100,12.91,CA,1613344595
São Domingos,-13.3983,-46.3183,70.86,84,100,1.1,BR,1613344595
Frutal,-20.0247,-48.9406,75.42,74,95,1.9,BR,1613344595
Richmond,37.5538,-77.4603,34.0,93,90,9.22,US,1613344381
Nizhniy Tsasuchey,50.5167,115.1333,-6.93,91,100,1.03,RU,1613344595
Srandakan,-7.9386,110.2506,75.99,85,99,3.27,ID,1613344596
Katsuura,35.1333,140.3,60.8,82,75,12.66,JP,1613344331
Kalyny,48.1408,23.8738,23.0,86,40,3.44,UA,1613344596
Mount Gambier,-37.8333,140.7667,62.6,72,40,13.8,AU,1613344596
Marabu,4.4148,114.0089,75.2,94,40,2.3,MY,1613344398
Abalak,58.1286,68.5944,18.9,97,100,9.98,RU,1613344596
Sinnamary,5.3833,-52.95,77.32,80,70,14.81,GF,1613344596
Isangel,-19.55,169.2667,86.0,84,75,5.75,VU,1613344597
Vrangel',42.7297,133.0839,29.48,98,100,6.98,RU,1613344597
Alvdal,62.1077,10.6307,-18.4,69,60,2.3,NO,1613344597
Nome,64.5011,-165.4064,23.0,39,90,10.36,US,1613344597
Samarai,-10.6167,150.6667,82.85,71,73,3.04,PG,1613344597
Bahār,34.9072,48.4414,40.68,58,0,3.11,IR,1613344597
Camaná,-16.6228,-72.7111,73.62,72,7,7.02,PE,1613344597
Kansanshi,-12.0951,26.4273,61.3,95,94,3.24,ZM,1613344597
Sørland,67.667,12.6934,33.8,93,75,6.91,NO,1613344597
Kalmunai,7.4167,81.8167,75.92,87,76,7.4,LK,1613344598
Pingzhuang,42.0372,119.2889,4.93,81,0,7.0,CN,1613344598
Tupik,54.4253,119.9327,-18.02,85,99,3.13,RU,1613344598
Lompoc,34.6391,-120.4579,57.99,58,1,23.02,US,1613344598
Jining,35.405,116.5814,35.11,80,20,12.39,CN,1613344583
Dubbo,-32.25,148.6167,69.8,56,0,14.97,AU,1613344598
Ozernovskiy,51.5,156.5167,23.02,94,100,7.56,RU,1613344598
Hay River,60.8156,-115.7999,6.8,56,0,8.05,CA,1613344598
Kahului,20.8947,-156.47,84.2,54,40,17.27,US,1613344598
Khoy,38.5504,44.9535,42.21,61,0,4.92,IR,1613344599
Bariloche,-41.1456,-71.3082,73.99,45,75,16.11,AR,1613344599
Llanelli,51.682,-4.1619,50.0,100,75,16.11,GB,1613344599
Pangody,65.85,74.4859,-23.53,84,100,18.43,RU,1613344599
Millinocket,45.6573,-68.7098,19.4,63,40,2.95,US,1613344634
Abu Kamal,34.4506,40.9171,59.02,45,0,9.93,SY,1613344599
Kungurtug,50.5994,97.5228,10.8,92,100,1.59,RU,1613344599
Encruzilhada do Sul,-30.5439,-52.5219,66.15,95,96,2.59,BR,1613344477
Conakry,9.538,-13.6773,80.6,78,72,6.91,GN,1613344321
Isiro,2.7739,27.616,68.76,34,78,1.95,CD,1613344600
Keti Bandar,24.1447,67.4497,68.92,82,54,11.01,PK,1613344600
Diego de Almagro,-26.3667,-70.05,72.88,35,0,8.61,CL,1613344600
Antofagasta,-23.65,-70.4,69.8,64,20,9.22,CL,1613344320
Alice Springs,-23.7,133.8833,78.8,31,71,8.05,AU,1613344600
Esim,4.8699,-2.2405,80.01,86,9,7.31,GH,1613344600
Phalombe,-15.8064,35.6507,69.85,89,100,2.73,MW,1613344601
Mataram,-8.5833,116.1167,75.2,100,20,2.3,ID,1613344601
Itagibá,-14.2836,-39.8428,70.36,80,59,3.11,BR,1613344601
Camapuã,-19.5314,-54.0439,75.54,85,91,1.28,BR,1613344601
Sur,22.5667,59.5289,69.24,68,0,5.48,OM,1613344601
Gimbi,9.1667,35.8333,60.73,36,44,3.22,ET,1613344601
Las Vegas,36.175,-115.1372,60.8,13,1,17.27,US,1613344003
Ürümqi,43.801,87.6005,17.6,93,90,2.24,CN,1613344601
Sakakah,29.9697,40.2064,59.0,47,0,3.44,SA,1613344601
Alanya,36.5438,31.9998,51.8,93,40,3.44,TR,1613344601
Talagang,32.9297,72.4158,54.21,46,0,1.72,PK,1613344602
Hohhot,40.8106,111.6522,1.4,66,0,4.47,CN,1613344408
Sabha,27.0377,14.4283,55.71,61,0,18.43,LY,1613344602
Malanje,-9.5402,16.341,64.6,79,7,3.98,AO,1613344602
Umm Kaddadah,13.6017,26.6876,71.04,21,0,12.21,SD,1613344602
Burē,10.7,37.0667,63.43,36,42,7.16,ET,1613344602
Bharatpur,27.2167,77.4833,58.03,47,0,1.41,IN,1613344603
Walvis Bay,-22.9575,14.5053,66.6,71,0,14.29,NA,1613344603
Morón,-34.6534,-58.6198,75.99,73,40,9.22,AR,1613344603
Aketi,2.7388,23.7833,76.51,59,37,1.83,CD,1613344603
Gweta,-20.1833,25.2333,73.78,82,100,8.21,BW,1613344603
Ugento,39.9263,18.1574,39.2,56,75,23.02,IT,1613344603
Aksay,47.26,39.87,15.01,79,0,2.24,RU,1613344603
Plover,44.4564,-89.544,-5.01,45,1,9.22,US,1613344603
Ugoofaaru,5.6667,73.0,80.31,67,18,8.37,MV,1613344603
Barra de Tecoanapa,16.5167,-98.75,79.5,51,0,11.27,MX,1613344604
Onguday,50.75,86.15,13.59,84,29,2.71,RU,1613344604
Oodweyne,9.4092,45.064,65.3,27,0,7.74,SO,1613344604
Marzuq,14.4,46.4667,58.41,49,1,1.21,YE,1613344604
Barcelos,41.5388,-8.6151,55.0,82,0,9.22,PT,1613344604
Tabou,4.423,-7.3528,78.46,90,100,4.92,CI,1613344604
Haines Junction,60.7522,-137.5108,-5.8,49,47,3.44,CA,1613344604
Lavrentiya,65.5833,-171.0,-9.56,85,22,13.0,RU,1613344604
Faya,18.3851,42.4509,57.2,71,0,6.91,SA,1613344605
Jackson,42.4165,-122.8345,45.0,76,90,4.61,US,1613344379
Mincivan,39.0294,46.7185,49.64,49,3,0.96,AZ,1613344605
Westport,41.1415,-73.3579,36.0,75,90,3.44,US,1613344605
Toba Tek Singh,30.9743,72.4827,58.32,34,6,5.53,PK,1613344605
Anori,-3.7728,-61.6442,75.7,96,100,1.41,BR,1613344605
Gigant,46.5066,41.3419,22.12,83,99,7.34,RU,1613344605
Safi,32.2994,-9.2372,63.81,71,0,9.1,MA,1613344504
Ariquemes,-9.9133,-63.0408,75.85,97,91,2.89,BR,1613344605
Sokodé,8.9833,1.1333,83.61,44,86,4.41,TG,1613344606
Mackenzie,55.2999,-123.1698,14.0,62,75,4.61,CA,1613344606
Asău,46.4333,26.4,24.01,67,100,4.09,RO,1613344606
Grindavik,63.8424,-22.4338,37.4,93,75,8.05,IS,1613344606
Gueugnon,46.6036,4.0629,30.99,86,0,3.98,FR,1613344606
Malaya Purga,56.5567,53.0043,3.99,87,100,6.58,RU,1613344606
Ardrishaig,56.0157,-5.4481,46.0,87,24,12.66,GB,1613344607
Tevaitoa,-16.7833,-151.5,81.81,75,21,12.41,PF,1613344607
Alekseyevsk,57.8406,108.3492,-15.21,87,99,3.11,RU,1613344607
Jacareacanga,-6.2222,-57.7528,73.17,98,100,2.93,BR,1613344607
San Ramon,37.7799,-121.978,54.0,58,90,9.22,US,1613344607
Pimentel,-6.8367,-79.9342,77.0,69,0,19.57,PE,1613344607
Garden City,42.3256,-83.331,21.2,58,90,10.36,US,1613344607
Chahal Guatemala,15.75,-89.5667,83.43,63,38,2.3,GT,1613344607
Tirano,46.2154,10.1679,30.0,78,0,1.14,IT,1613344608
Kalispell,48.1958,-114.3129,15.01,67,90,0.98,US,1613344608
Roebourne,-20.7833,117.1333,79.54,78,13,8.1,AU,1613344608
Saint-Raphaël,19.4333,-72.2,73.71,73,2,5.23,HT,1613344608
Dhidhdhoo,6.8833,73.1,80.47,65,62,7.9,MV,1613344608
Kapuskasing,49.4169,-82.4331,1.4,66,100,8.05,CA,1613344608
Yershov,51.3513,48.2766,-2.18,92,0,8.99,RU,1613344608
Tignère,7.3667,12.65,67.75,25,4,2.48,CM,1613344608
Helong,42.5397,128.9972,17.4,93,100,4.12,CN,1613344608
Jacksonville,30.3322,-81.6556,55.4,100,90,9.22,US,1613344571
Bulgan,48.8125,103.5347,8.83,86,43,5.93,MN,1613344609
Portland,45.5234,-122.6762,34.0,74,90,17.27,US,1613344560
Lafiagi,8.8667,5.4167,83.16,42,1,6.13,NG,1613344609
Lufilufi,-13.8745,-171.5986,87.8,66,40,5.75,WS,1613344609
Bukama,-9.2,25.85,70.63,92,100,0.09,CD,1613344609
Fort Saint James,54.4333,-124.25,14.81,94,100,2.28,CA,1613344609
Khasan,42.4308,130.6434,24.62,97,100,13.18,RU,1613344609
Cabra,37.4725,-4.4421,50.0,72,57,5.57,ES,1613344610
Robertsport,6.7533,-11.3686,80.87,85,23,9.71,LR,1613344610
Inta,66.0317,60.1659,-7.15,89,100,18.14,RU,1613344610
Kutum,14.2,24.6667,62.78,27,0,8.9,SD,1613344610
Lusambo,-4.9667,23.45,72.77,92,89,0.81,CD,1613344610
Havre-St-Pierre,50.2334,-63.5986,6.8,85,20,4.61,CA,1613344610
Colborne,44.0001,-77.8828,23.0,54,89,2.3,CA,1613344610
Yangi Marg`ilon,40.4272,71.7189,39.2,70,100,2.3,UZ,1613344610
Pamekasan,-7.1568,113.4746,75.6,91,100,5.7,ID,1613344610
Hibbing,47.4272,-92.9377,-9.4,58,75,10.36,US,1613344610
Khvoynaya,58.9,34.5333,-10.17,89,13,5.64,RU,1613344611
Paamiut,61.994,-49.6678,8.46,89,2,13.33,GL,1613344611
Kieta,-6.2167,155.6333,83.16,76,100,8.97,PG,1613344611
Pavino,59.1139,46.1414,-4.25,91,98,6.6,RU,1613344611
Laje,-10.1833,-40.9667,76.53,51,48,5.64,BR,1613344611
Almeirim,-1.5233,-52.5817,76.26,93,100,4.5,BR,1613344396
Tūkrah,32.5341,20.5791,54.19,76,100,18.81,LY,1613344611
Almaznyy,48.0448,40.045,12.2,79,0,2.24,RU,1613344612
Peniche,39.3558,-9.3811,57.99,79,96,9.06,PT,1613344612
Broome,42.2506,-75.833,24.01,73,1,3.44,US,1613344612
Hong Kong,22.2855,114.1577,64.99,75,0,4.03,HK,1613344474
Lorengau,-2.0226,147.2712,84.16,73,98,7.87,PG,1613344612
Esqueda,30.7167,-109.5833,53.15,40,33,22.28,MX,1613344612
Fuyang,32.9,115.8167,46.69,74,27,13.38,CN,1613344613
Kaniama,-7.5667,24.1833,67.24,91,100,2.84,CD,1613344613
Syracuse,37.0881,15.2792,41.0,60,20,9.22,IT,1613344613
Dingle,10.9995,122.6711,75.07,93,100,4.9,PH,1613344613
Ilanskiy,56.2358,96.065,-17.59,89,58,1.7,RU,1613344613
Behshahr,36.6923,53.5526,39.2,100,2,4.61,IR,1613344613
